max,f
10,1059
20,481
30,609
40,901
50,741
60,721
70,1109
80,709
90,691
100,747
110,748
120,722
130,1121
140,739
150,739
160,703
170,688
180,765
190,667
200,716
210,678
220,664
230,686
240,602
250,679
260,1200
270,691
280,625
290,634
300,628
310,586
320,584
330,580
340,568
350,564
360,513
370,561
380,538
390,546
400,563
410,515
420,537
430,539
440,464
450,473
460,470
470,489
480,454
490,452
500,479
510,447
520,1073
530,434
540,459
550,442
560,409
570,430
580,382
590,371
600,405
610,358
620,371
630,370
640,372
650,388
660,353
670,325
680,328
690,363
700,342
710,369
720,303
730,321
740,304
750,305
760,308
770,294
780,305
790,302
800,309
810,282
820,290
830,256
840,259
850,241
860,262
870,250
880,226
890,255
900,248
910,243
920,234
930,207
940,241
950,232
960,197
970,209
980,194
990,210
1000,214
1010,208
1020,198
1030,389
1040,180
1050,189
1060,170
1070,180
1080,191
1090,182
1100,176
1110,169
1120,162
1130,158
1140,159
1150,150
1160,166
1170,133
1180,152
1190,163
1200,129
1210,129
1220,124
1230,120
1240,117
1250,126
1260,130
1270,121
1280,121
1290,125
1300,107
1310,114
1320,117
1330,138
1340,116
1350,113
1360,114
1370,118
1380,107
1390,107
1400,98
1410,114
1420,102
1430,101
1440,90
1450,97
1460,91
1470,82
1480,91
1490,96
1500,95
1510,93
1520,88
1530,74
1540,97
1550,77
1560,64
1570,77
1580,92
1590,78
1600,68
1610,90
1620,82
1630,65
1640,73
1650,58
1660,74
1670,75
1680,71
1690,60
1700,53
1710,50
1720,41
1730,56
1740,50
1750,58
1760,43
1770,42
1780,41
1790,38
1800,46
1810,37
1820,36
1830,43
1840,51
1850,39
1860,41
1870,38
1880,40
1890,50
1900,39
1910,33
1920,46
1930,31
1940,36
1950,31
1960,38
1970,37
1980,33
1990,37
2000,35
2010,29
2020,33
2030,40
2040,34
2050,41
2060,19
2070,27
2080,24
2090,18
2100,31
2110,20
2120,35
2130,21
2140,18
2150,33
2160,11
2170,18
2180,21
2190,25
2200,18
2210,20
2220,18
2230,18
2240,16
2250,15
2260,12
2270,14
2280,13
2290,16
2300,21
2310,18
2320,20
2330,15
2340,16
2350,19
2360,13
2370,11
2380,11
2390,10
2400,11
2410,10
2420,9
2430,12
2440,9
2450,6
2460,6
2470,9
2480,6
2490,8
2500,7
2510,11
2520,6
2530,6
2540,10
2550,11
2560,7
2570,8
2580,9
2590,7
2600,6
2610,3
2620,4
2630,5
2640,4
2650,5
2660,4
2670,4
2680,2
2690,2
2700,2
2710,3
2720,5
2730,4
2740,3
2750,2
2760,2
2770,2
2780,1
2790,1
2800,2
2810,1
2820,2
2830,2
2840,1
2850,3
2860,2
2870,0
2880,2
2890,1
2900,2
2910,1
2920,0
2930,1
2940,0
2950,2
2960,3
2970,1
2980,0
2990,3
3000,1
3010,1
3020,0
3030,2
3040,1
3050,1
3060,0
3070,2
3080,0
3090,0
3100,0
3110,0
3120,0
3130,0
3140,1
3150,2
3160,1
3170,0
3180,1
3190,0
3200,0
3210,0
3220,0
3230,0
3240,1
3250,0
3260,0
3270,1
3280,0
3290,0
3300,2
3310,0
3320,0
3330,1
3340,1
3350,0
3360,0
3370,0
3380,0
3390,0
3400,0
3410,2
3420,1
3430,0
3440,0
3450,0
3460,1
3470,0
3480,0
3490,1
3500,0
3510,0
3520,0
3530,1
3540,0
3550,0
3560,0
3570,0
3580,0
3590,0
3600,0
3610,0
3620,0
3630,0
3640,0
3650,0
3660,0
3670,0
3680,1
3690,0
3700,0
3710,0
3720,0
3730,0
3740,0
3750,0
3760,0
3770,0
3780,0
3790,0
3800,0
3810,0
3820,0
3830,0
3840,0
3850,0
3860,0
3870,0
3880,0
3890,0
3900,0
3910,0
3920,0
3930,0
3940,0
3950,0
3960,0
3970,0
3980,0
3990,0
4000,0
4010,0
4020,0
4030,0
4040,0
4050,0
4060,0
4070,0
4080,0
4090,0
4100,0
4110,0
4120,0
4130,0
4140,0
4150,0
4160,0
4170,0
4180,0
4190,0
4200,0
4210,0
4220,0
4230,0
4240,0
4250,0
4260,0
4270,0
4280,0
4290,0
4300,0
4310,0
4320,0
4330,0
4340,0
4350,0
4360,0
4370,0
4380,0
4390,0
4400,0
4410,0
4420,0
4430,0
4440,0
4450,0
4460,0
4470,0
4480,0
4490,0
4500,0
4510,1
4520,0
4530,0
4540,0
4550,0
4560,0
4570,0
4580,0
4590,0
4600,0
4610,0
4620,0
4630,0
4640,0
4650,0
4660,0
4670,0
4680,0
4690,0
4700,0
4710,0
4720,0
4730,0
4740,0
4750,0
4760,0
4770,0
4780,0
4790,0
4800,0
4810,0
4820,0
4830,0
4840,0
4850,0
4860,0
4870,0
4880,0
4890,0
4900,0
4910,0
4920,0
4930,0
4940,0
4950,0
4960,0
4970,0
4980,0
4990,0
5000,0
