max,f
12500,1797
25000,1499
37500,1461
50000,1522
62500,1517
75000,1544
87500,1496
100000,2285
112500,1639
125000,1523
137500,1389
150000,1432
162500,1415
175000,1327
187500,1308
200000,1263
212500,1204
225000,1228
237500,1024
250000,1503
262500,1103
275000,1004
287500,926
300000,897
312500,918
325000,866
337500,843
350000,2035
362500,714
375000,651
387500,582
400000,632
412500,629
425000,589
437500,615
450000,586
462500,529
475000,505
487500,494
500000,942
512500,475
525000,413
537500,402
550000,379
562500,370
575000,362
587500,328
600000,374
612500,308
625000,328
637500,306
650000,281
662500,290
675000,302
687500,296
700000,313
712500,271
725000,297
737500,303
750000,5199
762500,122
775000,83
787500,83
800000,58
812500,74
825000,83
837500,80
850000,112
862500,58
875000,65
887500,79
900000,174
912500,196
925000,95
937500,248
950000,118
962500,36
975000,40
987500,41
1000000,1122
